idx,weight
0,0.2601615191
1,0.2380225211
2,-0.4102159441
3,-0.2046936601
4,-0.6732347012
5,-0.1497014165
6,-0.540375948
7,0.4977908134
8,0.104348354
9,-0.06238787621
10,-0.1546050012
11,0.1188144982
12,-0.3347937763
13,-0.03811640665
14,-0.3363534212
15,0.1303715706
16,0.5135483146
17,-0.6439639926
18,-0.2077872157
19,0.3154362142
20,0.6396497488
21,-0.2307106853
22,-0.06468106806
23,-0.7673447132
24,-0.1074839607
25,-0.1262466311
26,0.1559121609
27,0.2818316221
28,0.5325571299
29,0.3618312776
30,0.2213592678
31,0.1472656429
32,-0.295047611
33,0.07749830186
34,0.08944045007
35,-0.2663323879
36,-0.1491159648
37,-0.1691195369
38,0.4489422739
39,0.1158973351
40,0.09796740115
41,-0.2483390719
42,-0.3723269105
43,0.1820814013
44,-0.1397763789
45,-0.2652914226
46,-0.250115633
47,0.7963991165
48,0.04458621889
49,0.1927438378
50,0.05460382625
51,0.3155702055
52,0.1410290599
53,0.6697643995
54,0.05038823932
55,-0.1159528419
56,-0.5966095328
57,-0.5637176037
58,0.1256813705
59,-0.04239222407
60,-0.4076044858
61,-0.1049400568
62,0.004649566486
63,0.4860516191
64,0.3482375145
65,-0.3205572963
66,-0.5299697518
67,0.1551787704
68,-0.3077345788
69,0.2923918962
70,-0.1174351573
71,0.137124449
72,0.3237713277
73,0.1110270247
74,0.1294258684
75,0.2836996019
76,-0.5391421318
77,-0.04048813134
78,-0.2150489986
79,0.3702820837
80,0.05939940363
81,0.1787786335
82,0.2446437627
83,0.2684048414
84,-0.1776687503
85,-0.1159115806
86,-0.3483496606
87,-1.438418865
88,-0.1817766875
89,-0.30313766
90,0.5367369652
91,0.03835392371
92,-0.000400667981
93,0.1354003251
94,-0.2978881598
95,0.1949927509
96,0.3708085716
97,-0.5234761834
98,0.09874765575
99,-0.7612198591
100,-0.01221610792
101,-0.2514353096
102,0.3100156486
103,-1.234578252
104,-0.05676937848
105,-0.5378264189
106,-0.5694972873
107,-0.1048526838
108,-0.5897420049
109,-0.3338962197
110,0.3685793877
111,0.03353242204
112,0.285374701
113,0.5854600668
114,-0.4563622177
115,0.7354851961
116,-0.9857150912
117,0.08412962407
118,-0.06969871372
119,0.5733598471
120,-0.6009811163
121,0.7746505737
122,0.266186446
123,-0.315303117
124,-0.2080565244
125,0.3658650219
