EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54342,5719.361816,1460.928955,86.70,86.70
2,54598,5675.525391,1452.266479,86.53,86.10
3,54650,5577.459961,1436.412109,86.72,86.30
4,54766,5499.025879,1429.623901,87.19,86.60
5,54812,5430.545898,1419.387817,87.22,86.60
6,54847,5341.183594,1406.465088,87.46,86.65
7,54848,5301.459473,1399.038208,87.30,86.45
8,54854,5253.274902,1392.881348,87.59,86.75
9,54857,5208.378418,1388.247803,87.62,86.50
10,54868,5186.747070,1385.332642,87.66,86.65
11,54872,5123.635254,1374.388062,87.75,86.70
12,54879,5108.065918,1377.341919,88.00,86.65
13,54883,5100.551758,1379.607056,87.95,86.65
14,54885,5055.644043,1373.342407,88.16,86.70
15,54889,5062.631348,1378.575928,88.16,86.75
16,54884,5013.314453,1369.460205,88.18,86.90
17,54890,4951.318848,1364.407837,88.38,86.95
18,54894,4944.813477,1366.704102,88.26,86.85
19,54898,4903.933105,1359.119995,88.29,86.75
20,54904,4868.715820,1358.833252,88.45,87.05
21,54906,4835.015137,1353.730103,88.57,87.10
22,54912,4839.016602,1358.680664,88.62,87.05
23,54912,4832.385742,1356.996582,88.56,86.70
24,54910,4808.889160,1357.693237,88.79,86.90
25,54918,4753.128906,1349.429077,88.69,87.00
26,54918,4774.886719,1354.363525,88.68,86.85
27,54918,4743.166016,1351.965820,88.59,86.95
28,54920,4713.773438,1350.812134,88.84,86.90
29,54923,4699.452637,1348.386597,88.88,87.00
30,54925,4663.436523,1341.719849,88.78,87.05
31,54929,4679.518555,1348.668945,88.78,86.55
32,54931,4664.043457,1344.952026,88.72,86.60
33,54925,4647.911621,1350.237183,88.89,86.85
34,54930,4608.334961,1344.967041,89.07,86.50
35,54931,4613.450684,1348.215942,88.91,86.50
36,54935,4598.979492,1346.141113,88.90,86.80
37,54971,4598.243652,1353.011719,88.95,86.55
38,54972,4596.241699,1348.008057,88.86,86.80
39,54972,4491.365723,1341.699707,89.28,86.80
40,54976,4502.567871,1336.810913,89.16,86.50
41,54971,4518.716797,1349.858643,88.95,86.50
42,54969,4450.313477,1336.954102,89.29,86.60
43,54972,4486.810547,1349.298828,89.25,86.80
44,54973,4431.400879,1342.709473,89.32,86.80
45,54974,4428.692871,1340.936401,89.50,86.35
46,54977,4432.236328,1340.508667,89.14,86.70
47,54978,4411.789062,1337.777100,89.20,87.00
48,54972,4342.776855,1340.663452,89.45,86.55
49,54978,4359.229492,1343.622803,89.54,86.95
50,54983,4263.512695,1319.046753,89.12,86.85
