idx,weight
0,0.2999185622
1,0.1238418967
2,-0.5522401333
3,-0.1437863111
4,-0.6239824891
5,-0.1497014165
6,-0.5640774369
7,0.6629710197
8,0.06761881709
9,-0.1272880286
10,-0.0433938019
11,-0.07864578813
12,-0.3523654342
13,-0.09135197103
14,-0.2595690489
15,0.2640660703
16,0.4259493947
17,-0.5422216654
18,-0.3378257453
19,0.3642573953
20,0.5653254986
21,-0.2204670161
22,-0.06468106806
23,-0.544195056
24,-0.1396787018
25,-0.1243044883
26,-0.04170927405
27,0.2066427916
28,0.7653806806
29,0.1254604906
30,0.1619955301
31,0.1181852967
32,-0.2432139218
33,0.2861799896
34,0.0985481143
35,-0.2729454935
36,-0.255940944
37,-0.04042946547
38,0.6277300119
39,0.2218726724
40,-0.03051659092
41,-0.2370919734
42,-0.3210131526
43,0.2319357395
44,0.110442102
45,-0.2652914226
46,-0.429187417
47,0.4041416049
48,0.02206541598
49,-0.01252975222
50,-0.04234039411
51,0.2032588571
52,0.06991358101
53,0.7974866629
54,0.2600497305
55,-0.06645647436
56,-0.9452090263
57,-0.5228565335
58,0.1560636163
59,-0.1364475936
60,-0.6004819274
61,-0.1049400568
62,0.1774652302
63,0.4873351753
64,0.3414064944
65,-0.9979614615
66,-0.5423054099
67,0.2922461629
68,-0.9564886689
69,0.2923918962
70,-0.2063516676
71,0.1983785927
72,0.7362074852
73,0.2036626339
74,0.2525891364
75,0.3827281892
76,-0.6766866446
77,-0.0158397723
78,-0.1756686568
79,0.4716869891
80,0.2752922773
81,0.1547535658
82,0.2846114039
83,0.2697081566
84,-0.3497275412
85,-0.1056677848
86,-0.3483496606
87,-1.363764167
88,-0.3720988929
89,-0.01327885408
90,0.5930928588
91,0.2812799811
92,-0.01418336295
93,0.3009980917
94,-0.5128866434
95,0.2295559198
96,0.1021010727
97,-0.1425911337
98,0.3399651945
99,-0.6656585932
100,-0.1037944704
101,-0.4056384265
102,0.3290979266
103,-1.174552083
104,-0.3103046417
105,-0.648543179
106,-1.314300299
107,0.006392277777
108,-0.940286994
109,-0.3338962197
110,0.1658643335
111,-0.1402336061
112,0.2920269668
113,0.4055663943
114,-0.242825225
115,0.505425036
116,-0.8557216525
117,-0.03667959198
118,0.02175268717
119,0.4353862405
120,-0.7329859138
121,0.7687761188
122,0.02062479593
123,-0.2188483775
124,-0.2654545009
125,0.3658650219
126,0.5192822814
127,-1.165045738
128,0.4763837159
129,-0.05376879498
130,-0.7025387287
131,0.6831052303
132,0.10196428
133,-0.3391583562
134,0.3388212025
135,-0.501109004
136,-0.5354040265
137,0.4779615402
138,0.1545373648
139,0.4927272201
140,0.6287807822
141,0.4710178077
142,-0.3101961613
143,0.3056992888
144,0.4550579786
145,-0.3584467769
146,-0.3588196635
147,0.6627885103
148,0.4988769889
149,-0.3442734778
150,-0.2241352946
151,-0.2724915147
152,-0.1723902225
153,0.6313027143
154,0.01872465946
155,-0.609697938
156,-0.2092939913
157,0.6181324124
158,0.6521503925
159,-0.5957998037
160,-0.2010881007
161,-0.2541274726
162,0.4345038235
163,-0.09832672775
164,-0.7844472528
165,-0.4938987195
166,-0.3688863814
167,0.361125052
168,0.1475626379
169,-0.2672458589
170,-0.1507599801
171,0.7694813013
172,-0.1719983816
173,0.1697207391
174,-0.2054304332
175,0.3930991292
176,-0.4157189727
177,0.2089585364
178,-0.1979985833
179,-0.3133809268
180,-0.4022245109
181,-0.2632457912
182,-0.6132914424
183,0.1014755592
184,-0.08770123124
185,-0.02146827057
186,-0.1593623161
187,-0.006545209792
188,-0.05441255867
189,0.03464906663
190,-0.2357328236
191,-0.3925075829
192,0.1310344189
193,0.1824051887
194,0.4363233447
195,-0.05905050784
196,0.03300874308
197,-0.308480233
198,0.2646802068
199,0.3463392556
200,0.2793592811
201,0.6441549063
202,-0.03126419336
203,-0.4282110631
204,0.1136715338
205,0.0474913232
206,-0.4365173876
207,-1.556027651
208,-0.06695125997
209,0.6747777462
