EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54281,5453.699219,1415.543823,86.22,86.00
2,54624,5158.075195,1348.429932,86.91,86.50
3,54691,4962.491211,1311.377563,87.04,86.95
4,54738,4881.932617,1299.869507,87.41,86.85
5,54764,4804.188477,1284.526489,87.94,86.95
6,54787,4794.263184,1289.782959,87.84,86.80
7,54840,4631.070312,1267.419189,87.90,86.80
8,54875,4582.974121,1265.634155,88.19,87.15
9,54884,4498.370605,1265.087402,88.72,87.30
10,54885,4546.154297,1280.649414,88.74,87.05
11,54917,4421.834961,1259.732788,89.22,87.45
12,54944,4401.137695,1263.093872,89.21,87.45
13,54963,4328.566406,1256.503906,89.41,87.15
14,54985,4323.135254,1254.853638,89.44,87.30
15,54985,4255.921875,1241.963989,89.54,87.50
16,54990,4193.656738,1225.548828,89.51,87.60
17,54996,4234.142090,1240.440674,89.50,87.65
18,55003,4152.793945,1228.968384,89.49,87.15
19,55004,4122.794922,1224.175903,89.65,87.30
20,55011,4186.854492,1241.149292,89.56,87.00
21,55012,4133.995605,1232.524048,89.90,87.35
22,55060,3997.047119,1208.064331,89.99,87.35
23,55082,3928.287842,1198.032837,90.30,87.50
24,55080,3984.433350,1218.549805,90.11,87.45
25,55084,3943.671875,1212.314453,90.16,87.25
26,55087,3882.082031,1197.346680,90.46,87.45
27,55093,3917.506348,1212.933594,90.30,87.55
28,55093,3889.327637,1209.448853,90.54,87.40
29,55099,3898.921875,1207.725830,90.51,87.35
30,55102,3890.768799,1206.118286,90.20,87.25
31,55107,3836.301514,1201.537964,90.35,87.45
32,55104,3800.586914,1199.216675,90.64,87.35
33,55107,3732.097900,1191.182495,90.71,87.75
34,55112,3715.236084,1187.187744,90.70,87.50
35,55108,3718.025391,1192.855469,90.84,87.45
36,55109,3678.522217,1201.896118,90.91,87.70
37,55110,3703.769043,1204.580322,90.72,87.70
38,55111,3647.842773,1189.863403,90.79,87.75
39,55114,3601.553467,1184.526001,90.60,87.65
40,55120,3601.439941,1187.341919,90.64,87.55
41,55118,3570.615479,1185.805420,90.75,87.85
42,55122,3553.351074,1192.215210,90.80,87.75
43,55124,3819.013428,1209.056152,90.74,87.80
44,55127,3591.371338,1201.859741,90.78,87.30
45,55126,3570.875977,1195.547607,90.97,87.95
46,55127,3513.988525,1197.342163,91.25,88.05
47,55131,3438.650391,1177.722046,91.03,88.10
48,55130,3489.375000,1190.635620,91.28,87.90
49,55139,3448.217285,1195.182983,91.06,88.30
50,55135,3479.849854,1205.841431,91.36,88.05
