EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,161651,25833.531250,6445.172852,79.49,79.15
2,162685,23190.929688,5788.367188,81.89,81.70
3,162855,21373.490234,5335.900391,82.82,83.00
4,163058,20415.107422,5110.339844,83.80,83.35
5,163386,19666.580078,4943.465332,84.81,84.08
6,163495,19068.664062,4811.542969,85.03,84.43
7,163675,18745.486328,4741.583984,85.29,84.65
8,163796,18507.117188,4695.860352,85.40,84.82
9,163804,18291.644531,4651.110352,85.56,84.90
10,163847,18187.617188,4627.286133,85.64,84.98
11,163884,18051.603516,4600.289062,85.68,84.95
12,163895,17944.660156,4578.654297,85.72,85.07
13,164019,17867.023438,4563.577637,85.81,84.97
14,164042,17781.865234,4549.698242,85.84,85.05
15,164074,17654.998047,4522.818359,85.90,85.03
16,164076,17552.748047,4500.391602,85.92,85.10
17,164084,17471.890625,4485.986816,85.96,85.15
18,164091,17413.177734,4474.210938,86.02,85.17
19,164102,17314.488281,4455.256836,86.08,85.12
20,164112,17162.980469,4422.892090,86.12,85.20
21,164123,17139.837891,4421.653809,86.15,85.25
22,164141,16959.019531,4380.720215,86.21,85.23
23,164284,16741.490234,4337.725098,86.26,85.33
24,164417,16692.335938,4330.444336,86.30,85.32
25,164596,16437.351562,4278.156738,86.37,85.32
26,164618,16418.699219,4279.166992,86.43,85.40
27,164638,16322.017578,4263.518066,86.48,85.32
28,164643,16206.034180,4240.481934,86.52,85.32
29,164656,16118.862305,4222.884766,86.55,85.42
30,164668,16051.175781,4212.543945,86.65,85.45
31,164680,16073.887695,4221.523438,86.61,85.48
32,164658,16020.077148,4211.919922,86.69,85.53
33,164688,15867.328125,4190.535645,86.80,85.57
34,164675,15957.056641,4205.722168,86.83,85.53
35,164682,15814.059570,4180.927734,86.92,85.55
36,164682,15802.383789,4182.105469,86.89,85.62
37,164683,15741.443359,4175.336426,86.97,85.60
38,164678,15604.996094,4160.572754,86.91,85.52
39,164682,15605.237305,4162.964355,86.97,85.53
40,164684,15541.564453,4147.117676,86.99,85.47
41,164685,15596.763672,4168.722168,87.00,85.48
42,164689,15452.579102,4145.967773,87.03,85.42
43,164690,15439.613281,4150.780762,87.08,85.48
44,164705,15531.175781,4173.365234,87.08,85.58
45,164717,15506.426758,4169.593262,87.14,85.50
46,164726,15324.643555,4137.424316,87.11,85.67
47,164723,15399.789062,4160.270996,87.22,85.60
48,164734,15202.333984,4120.739746,87.21,85.65
49,164734,15140.931641,4112.897461,87.30,85.80
50,164732,15158.359375,4122.843262,87.27,85.83
