EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54165,6187.042969,1592.378784,85.95,85.25
2,54397,5987.571777,1545.475708,86.05,85.30
3,54423,5883.425781,1525.100464,86.28,85.50
4,54433,5817.302734,1512.262329,86.44,85.50
5,54442,5755.729004,1499.384766,86.54,85.70
6,54448,5710.075195,1491.010864,86.60,85.65
7,54452,5665.479492,1483.013916,86.62,85.75
8,54473,5608.499512,1472.421631,86.75,85.75
9,54495,5585.424316,1469.362061,86.71,85.90
10,54519,5555.489258,1464.726929,86.81,85.95
11,54526,5523.598633,1459.114136,86.88,86.05
12,54533,5502.611328,1455.365601,86.95,86.10
13,54538,5469.188477,1448.667725,87.05,86.00
14,54581,5444.229004,1444.704346,87.07,86.20
15,54589,5420.029297,1440.326294,87.07,86.00
16,54592,5387.105957,1434.595215,87.21,86.10
17,54593,5370.578613,1432.134888,87.26,86.05
18,54597,5355.576172,1429.381226,87.25,86.10
19,54597,5329.147461,1425.693481,87.43,86.10
20,54623,5298.781738,1420.448853,87.50,86.00
21,54639,5295.345215,1421.495972,87.46,85.95
22,54646,5275.743652,1417.302124,87.51,85.95
23,54645,5277.482910,1419.865479,87.53,85.95
24,54649,5246.345215,1413.670776,87.59,86.05
25,54649,5223.599121,1411.033569,87.75,85.80
26,54653,5209.000488,1409.625122,87.79,85.90
27,54652,5177.774902,1404.423340,87.81,86.00
28,54652,5166.610352,1402.476196,87.88,85.90
29,54653,5139.469238,1399.448486,87.81,86.15
30,54654,5133.817383,1399.352783,87.93,86.00
31,54657,5120.464355,1397.740112,87.91,86.10
32,54664,5107.151855,1396.708008,87.97,86.10
33,54662,5083.734375,1394.032471,88.01,86.15
34,54668,5070.730957,1391.000854,88.03,86.20
35,54676,5054.833008,1390.390137,88.05,86.25
36,54702,5036.614746,1387.252686,88.15,86.20
37,54706,5035.032227,1387.750366,88.22,86.25
38,54706,5012.035156,1385.574463,88.30,86.15
39,54706,4995.705566,1384.417603,88.22,86.10
40,54703,4975.452148,1381.078857,88.25,86.15
41,54707,4967.660156,1380.214478,88.20,86.05
42,54702,4964.340820,1382.902344,88.21,86.10
43,54710,4936.570801,1377.424561,88.30,86.10
44,54710,4901.729492,1373.741089,88.41,86.00
45,54704,4900.770996,1374.781128,88.41,86.10
46,54707,4902.376953,1378.964966,88.41,85.95
47,54709,4892.467285,1377.816162,88.56,86.05
48,54709,4874.188965,1377.697266,88.56,86.00
49,54711,4869.893555,1381.154907,88.61,85.95
50,54711,4863.739258,1382.343750,88.62,86.15
