EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54356,5899.643066,1518.583008,85.81,85.65
2,54619,5380.469727,1410.758179,87.26,86.55
3,54661,5064.647461,1344.416748,86.95,86.30
4,54680,5003.713867,1336.328735,87.53,86.60
5,54694,4872.257324,1322.755249,87.74,86.70
6,54700,4844.469238,1314.704468,87.78,86.35
7,54709,4973.925293,1367.556030,88.44,86.85
8,54710,4780.348633,1326.468628,88.81,87.20
9,54716,4909.380859,1372.800903,88.91,87.10
10,54720,4664.362305,1325.189819,89.15,86.75
11,54728,4962.475586,1410.042847,88.86,86.55
12,54737,4782.976074,1380.024536,89.20,86.70
13,54738,4856.322754,1403.716797,88.89,86.55
14,54750,4736.502930,1368.601074,89.41,86.95
15,54749,4357.219238,1295.158813,89.30,86.90
16,54747,4541.717285,1347.215332,89.51,86.95
17,54772,4591.127930,1349.874756,89.53,87.05
18,54797,4440.134277,1325.250244,89.60,86.80
19,54802,4795.376953,1426.456299,89.05,86.25
20,54809,4493.701172,1361.300903,89.60,86.70
21,54815,4252.074219,1293.403809,89.84,86.70
22,54834,4135.891113,1276.718018,89.82,86.80
23,54836,4121.477539,1268.385620,90.06,86.85
24,54840,4034.460449,1255.416260,90.24,87.15
25,54841,4002.647949,1240.583984,90.09,87.40
26,54845,4022.789062,1252.777588,90.38,87.70
27,54848,4116.061523,1273.252075,90.41,87.25
28,54858,3996.584473,1244.081299,90.32,87.45
29,54854,3984.959961,1237.745850,90.35,87.60
30,54861,3877.724854,1237.869507,90.40,86.80
31,54864,4051.927490,1296.283447,90.62,87.70
32,54867,3938.537598,1256.471802,90.56,87.60
33,54867,4037.306885,1295.627930,90.39,86.95
34,54862,3824.923096,1242.347534,90.56,87.25
35,54871,3834.918457,1253.590088,90.54,87.45
36,54874,3753.265381,1240.589600,90.65,87.10
37,54880,3783.574951,1243.098755,90.59,87.70
38,54887,3886.270264,1284.493042,90.75,87.25
39,54890,3908.307129,1284.807251,90.57,87.55
40,54887,4058.740723,1331.166626,90.18,86.80
41,54885,3754.641113,1242.731445,90.89,87.60
42,54893,3742.070312,1269.056763,90.72,87.25
43,54896,3882.819824,1299.291992,90.80,87.35
44,54895,3722.656494,1274.595337,90.82,87.30
45,54895,3890.770020,1322.148071,90.68,87.00
46,54896,3999.570312,1343.600342,90.81,86.65
47,54896,3610.585938,1245.357788,91.16,87.90
48,54896,3697.305664,1256.560913,91.10,87.35
49,54900,3803.333496,1291.902222,90.88,87.35
50,54902,3632.222656,1278.514404,91.40,87.55
