EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54370,6442.237305,1608.041138,85.35,85.70
2,54665,6248.165039,1567.084961,85.69,86.15
3,54715,6153.087402,1548.489014,85.91,86.30
4,54764,6057.523926,1528.077759,86.21,86.40
5,54780,6014.361328,1521.050415,86.38,86.35
6,54805,5969.874023,1514.242554,86.40,86.30
7,54808,5936.497070,1508.278931,86.49,86.20
8,54814,5899.810059,1501.525635,86.51,86.15
9,54818,5871.207520,1496.973145,86.60,86.20
10,54831,5834.345215,1490.934570,86.64,86.40
11,54838,5808.291992,1486.766235,86.74,86.15
12,54839,5773.282227,1480.264038,86.76,86.20
13,54848,5740.621582,1475.067139,86.85,86.35
14,54845,5714.139160,1471.000488,86.85,86.20
15,54849,5691.468750,1468.370117,86.85,86.25
16,54852,5665.099609,1463.974854,86.88,86.40
17,54852,5630.660156,1458.269165,87.00,86.35
18,54860,5613.106445,1457.441650,87.11,86.25
19,54867,5579.804688,1450.876221,87.14,86.30
20,54885,5539.791992,1444.872192,87.25,86.25
21,54897,5516.602051,1442.858765,87.29,86.35
22,54899,5493.642578,1440.259033,87.31,86.40
23,54900,5473.226074,1438.246094,87.35,86.45
24,54906,5440.480469,1432.891479,87.35,86.45
25,54919,5392.921387,1425.393066,87.50,86.75
26,54931,5378.249512,1424.897095,87.57,86.70
27,54940,5351.464844,1422.383911,87.55,86.75
28,54935,5332.432129,1420.887695,87.74,86.55
29,54957,5304.290527,1415.470825,87.65,86.55
30,54972,5283.452148,1414.294434,87.88,86.55
31,54979,5250.565918,1408.282959,87.71,86.65
32,54978,5224.658691,1406.036255,87.86,86.60
33,54984,5202.688477,1403.074463,87.81,86.45
34,54992,5183.851562,1402.914673,87.85,86.50
35,54994,5167.586914,1403.124512,88.01,86.30
36,55000,5162.562012,1404.417603,88.19,86.20
37,54999,5148.900391,1404.713623,88.16,86.65
38,54999,5132.175781,1402.557861,88.11,86.45
39,54999,5111.138672,1402.460571,88.26,86.40
40,55000,5078.304199,1397.080688,88.31,86.45
41,55003,5082.750977,1397.549316,88.26,86.15
42,54998,5043.036133,1395.628174,88.40,86.40
43,54998,5068.039551,1399.048950,88.31,86.20
44,55002,5031.822754,1398.851196,88.45,86.40
45,55000,5007.999023,1393.719971,88.43,86.35
46,55003,5023.150879,1398.515259,88.45,86.35
47,55001,5003.493164,1394.444458,88.44,86.15
48,55002,4986.309082,1394.063354,88.53,86.25
49,55006,4974.712891,1394.714355,88.41,86.25
50,55003,4968.711914,1393.004395,88.44,86.20
