,precision,recall,f1-score,support
Benign,0.9220496103117505,0.9626666666666667,0.9414317083882301,125.0
No DDoS,0.9424443402335813,0.8613333333333334,0.8998766891398885,125.0
DDoS icmp flood,1.0,0.9973333333333333,0.998661311914324,125.0
DDoS UDP flood,0.9973333333333333,0.9946666666666667,0.9959946452476572,125.0
DDoS TCP flood,0.9973544973544973,1.0,0.99867197875166,125.0
DDoS PSHACK,0.9973544973544973,1.0,0.99867197875166,125.0
DDoS Syn flood,0.6704692330241979,0.41066666666666657,0.4948378019539068,125.0
DDoS RSTFIN flood,1.0,0.992,0.9959839357429718,125.0
DDoS Synonymous ip flood,0.5796991573690603,0.84,0.6816430879564371,125.0
DDoS ICMP fragmentation,1.0,0.9866666666666667,0.993241257713782,125.0
DDoS UDP fragmentation,1.0,0.9893333333333333,0.9946127289183725,125.0
DDoS ACK Fragmentation,0.9973544973544973,0.9866666666666667,0.9919352237126979,125.0
Mirai,0.9947089947089948,0.9866666666666667,0.9906286651733526,125.0
MITM,0.8782025464263858,0.84,0.858220550638651,125.0
Reconnaissance,0.7106092279806258,0.632,0.6596570178258245,125.0
Vulnerability scan,0.6892168528348103,0.7786666666666667,0.7258016068618058,125.0
accuracy,,,0.8911666666666666,2000.0
macro avg,0.8985497992678896,0.8911666666666666,0.8887418867932014,2000.0
weighted avg,0.8985497992678896,0.8911666666666666,0.8887418867932014,2000.0
