EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,53505,15009.960938,3788.490479,72.12,72.60
2,53814,9869.000000,2497.237305,78.91,79.00
3,54065,8624.341797,2192.571533,80.18,79.90
4,54097,8016.104004,2043.322754,81.99,81.25
5,54146,7729.625488,1973.267212,81.51,81.45
6,54166,7528.040039,1925.557129,82.22,82.10
7,54213,7354.497070,1883.854126,83.04,82.80
8,54240,7181.406250,1842.899536,83.43,83.25
9,54264,7020.309570,1802.918457,84.20,83.90
10,54312,6874.217285,1764.839722,84.46,84.20
11,54322,6741.856934,1731.318359,84.68,84.55
12,54356,6628.211914,1702.690552,84.90,84.90
13,54373,6523.911133,1676.270630,85.10,84.75
14,54377,6454.905273,1659.459351,85.26,84.90
15,54372,6381.195312,1642.264893,85.50,85.05
16,54380,6317.379395,1628.105469,85.75,85.00
17,54385,6263.276367,1615.734741,85.75,85.10
18,54389,6209.747559,1603.565063,85.90,85.15
19,54386,6165.698730,1594.778442,85.90,85.20
20,54394,6120.880859,1585.092407,85.85,85.20
21,54397,6083.997559,1577.419556,85.99,85.40
22,54399,6043.197266,1568.984619,86.16,85.50
23,54396,6016.404785,1563.646606,86.30,85.55
24,54424,5977.717285,1554.971924,86.39,85.55
25,54436,5954.685059,1550.981079,86.35,85.65
26,54436,5921.608887,1544.088379,86.39,85.75
27,54439,5899.181641,1539.350952,86.35,85.80
28,54456,5862.645508,1532.173096,86.30,85.80
29,54473,5848.570801,1529.266235,86.36,85.75
30,54476,5818.499023,1523.223267,86.50,85.95
31,54476,5803.684082,1520.726196,86.68,85.90
32,54488,5777.187500,1515.797974,86.84,85.95
33,54493,5756.637695,1512.281006,86.66,85.80
34,54495,5733.685547,1508.277100,86.74,85.85
35,54498,5707.183105,1503.614380,87.03,85.90
36,54502,5672.897461,1496.304688,86.80,86.00
37,54505,5660.625977,1494.525513,86.86,86.05
38,54505,5635.404297,1490.815186,86.96,86.05
39,54515,5609.815918,1486.541870,87.07,86.00
40,54511,5589.786621,1482.973022,87.10,86.15
41,54508,5568.562500,1479.068970,87.29,86.20
42,54513,5546.322754,1474.839844,87.14,86.05
43,54513,5530.921387,1472.569824,87.44,86.25
44,54514,5512.744141,1470.057739,87.45,86.00
45,54513,5492.153320,1466.134277,87.57,86.15
46,54520,5471.716797,1462.467041,87.51,85.85
47,54524,5459.148438,1461.305420,87.55,86.05
48,54522,5429.366699,1455.343872,87.53,85.90
49,54525,5404.771973,1451.426270,87.59,85.90
50,54523,5382.289551,1447.303101,87.66,86.05
