EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54168,5539.288086,1449.466431,86.53,85.65
2,54473,5450.420410,1441.534668,87.31,85.95
3,54508,5323.439453,1415.954468,87.60,86.15
4,54513,5286.784180,1411.817017,87.70,86.10
5,54526,5218.827148,1398.759155,87.78,86.05
6,54532,5114.629395,1379.793091,87.65,86.05
7,54540,5101.606934,1380.843506,87.91,86.05
8,54545,5062.921387,1375.876099,88.12,86.10
9,54580,5029.262695,1373.202515,88.01,86.15
10,54619,4997.747070,1368.112915,88.12,86.15
11,54625,4964.589844,1363.875366,88.38,86.55
12,54630,4941.625488,1361.826660,88.38,86.65
13,54646,4901.388672,1357.415161,88.41,86.30
14,54674,4863.996094,1356.217651,88.59,86.50
15,54681,4830.007324,1350.237061,88.55,86.60
16,54682,4831.588867,1354.165405,88.84,86.55
17,54685,4803.864258,1353.681274,88.93,86.60
18,54682,4806.023926,1356.651123,88.99,86.70
19,54689,4745.419922,1346.308716,89.10,86.70
20,54691,4779.708008,1358.861694,89.15,86.80
21,54701,4714.107422,1350.260254,89.10,86.75
22,54707,4710.131836,1352.841919,89.20,86.70
23,54704,4710.607910,1359.253174,89.35,86.45
24,54707,4670.327637,1352.135498,89.47,86.70
25,54709,4648.431152,1351.095947,89.35,86.80
26,54713,4623.909668,1350.153809,89.53,86.80
27,54720,4568.829102,1338.060913,89.66,86.75
28,54725,4612.958008,1353.966797,89.65,86.70
29,54722,4560.070801,1345.907104,89.64,86.85
30,54726,4532.115234,1340.050537,89.84,87.00
31,54728,4501.902832,1337.022949,89.74,86.85
32,54738,4502.968750,1344.883423,89.88,86.65
33,54745,4483.508301,1342.291992,89.88,86.65
34,54741,4459.194336,1341.281616,89.93,86.75
35,54743,4439.187500,1341.062866,89.89,86.45
36,54748,4412.100098,1331.791626,89.86,86.40
37,54744,4424.679688,1343.635376,89.93,86.70
38,54749,4374.518066,1336.633667,90.03,86.85
39,54753,4357.669434,1328.937622,90.18,86.85
40,54752,4406.047852,1357.375488,89.96,86.45
41,54750,4262.848633,1320.422363,90.14,86.45
42,54772,4260.420410,1315.836670,90.15,86.60
43,54787,4220.002441,1315.256592,90.24,86.60
44,54790,4321.905762,1347.496948,90.19,86.65
45,54786,4177.735352,1307.650269,90.39,86.75
46,54785,4170.708008,1309.345459,90.38,86.90
47,54785,4073.836914,1285.827759,90.56,87.25
48,54787,4088.678223,1285.656128,90.70,87.35
49,54788,4081.162354,1295.231445,90.65,87.05
50,54787,4071.511475,1289.288696,90.69,87.30
