idx,weight
0,0.3378027081
1,0.07400647551
2,-0.4659774899
3,-0.2046729773
4,-0.6296072006
5,-0.1497014165
6,-0.5303525925
7,0.5771513581
8,0.01563785225
9,-0.174496606
10,-0.02118005604
11,-0.1164271459
12,-0.2747570574
13,-0.08854937553
14,-0.3687806427
15,0.2800628543
16,0.4605748951
17,-0.6208182573
18,-0.4254284501
19,0.2482079715
20,0.4845785797
21,-0.2204670161
22,-0.06468106806
23,-0.5303480625
24,-0.1869814247
25,-0.1081134081
26,0.01935594343
27,0.2432573885
28,0.6718105674
29,0.1708436757
30,0.276748091
31,0.199202016
32,-0.1985020638
33,0.2710984051
34,0.04607884958
35,-0.2340008914
36,-0.2496467233
37,-0.01018737163
38,0.6229676604
39,0.1319816858
40,0.09921563417
41,-0.328609705
42,-0.3714061081
43,0.2393131405
44,-0.002323548775
45,-0.2652914226
46,-0.3906956017
47,0.3687946498
48,-0.06964242458
49,-0.008071422577
50,-0.07806022465
51,0.2744594216
52,-0.01092957053
53,0.7282947898
54,0.1445560455
55,-0.04905132949
56,-0.8981153965
57,-0.4791802168
58,0.1855365187
59,-0.002995479619
60,-0.4375019073
61,-0.1049400568
62,0.1879653186
63,0.5768084526
64,0.1780873388
65,-1.00769937
66,-0.4564498365
67,0.1284825653
68,-0.8586214781
69,0.2923918962
70,-0.1721042246
71,0.08754198998
72,0.5600658655
73,0.1716609895
74,0.1458615214
75,0.145495981
76,-0.7387487888
77,-0.02819989063
78,-0.2498234957
79,0.4227767885
80,0.1861973405
81,0.0553503111
82,0.2086075991
83,0.2047947943
84,-0.4201023877
85,-0.1056677848
86,-0.3483496606
87,-0.8713751435
88,-0.5453784466
89,-0.1167202219
90,0.6483939886
91,0.3854184151
92,0.09423208982
93,0.3234368563
94,-0.2759664953
95,0.1575196087
96,0.08355505764
97,-0.1095426753
98,0.3122142851
99,-0.7070910335
100,0.05360046402
101,-0.3361139596
102,0.4586267471
103,-1.132813215
104,-0.3302974701
105,-0.6509644985
106,-1.283420205
107,-0.009202756919
108,-0.9129426479
109,-0.3338962197
110,0.2152462304
111,-0.1566542536
112,0.3835714757
113,0.3917068541
114,-0.2686129808
115,0.5673993826
116,-0.902616024
117,0.1513412893
118,0.04193783551
119,0.4625265896
120,-0.7592728138
121,0.778688848
122,0.246800825
123,-0.251460582
124,-0.2392135113
125,0.3658650219
126,0.4216780365
127,-1.060049891
128,0.326852411
129,-0.1069037169
130,-0.7286211252
131,0.6111937165
132,0.02858934924
133,-0.3391583562
134,0.2747972012
135,-0.2152681649
136,-0.3797051013
137,0.4557984173
138,0.2942539454
139,0.2887411118
140,0.5279768705
141,0.2808104753
142,-0.4592225552
143,0.2138920724
144,0.3189955354
145,-0.02001791447
146,-0.4925666451
147,0.3071152866
148,0.4567334652
149,-0.3442734778
150,-0.2241352946
151,-0.276257664
152,0.01533659734
153,0.5197759867
154,-0.001104207942
155,-0.3789674938
156,-0.1749787778
157,0.4917520285
158,0.5146610737
159,-0.4192635417
160,-0.2810179889
161,-0.3857224882
162,0.2532986701
163,-0.1038460135
164,-0.5397293568
165,-0.2134633511
166,-0.4034330547
167,0.4562017918
168,0.1383093148
169,-0.2312001884
170,0.06544383615
171,0.666516006
172,-0.2025334686
173,0.1697207391
174,-0.1475896686
175,0.3646080196
176,-0.3902540803
177,0.189786911
178,-0.2089888155
179,-0.1226434931
180,-0.5555514693
181,-0.1620388776
182,-0.5380660295
183,0.3641526699
184,0.06560384482
185,-0.01187573932
186,-0.1455530673
187,-0.005613091867
188,-0.3164007664
189,0.03464906663
190,-0.3615261912
191,-0.4161730111
192,-0.0664312765
193,0.2365724295
194,0.3760584295
195,-0.2226927578
196,0.1323110312
197,-0.308480233
198,0.3105812967
199,0.3593707085
200,0.2297252119
201,0.641695559
202,-0.07840058208
203,-0.2989251912
204,0.1625558883
205,0.1022187099
206,-0.5127409101
207,-1.380540133
208,0.105722405
209,0.6696692109
