EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54307,5808.531738,1506.082397,86.06,86.10
2,54603,5216.736328,1406.581909,88.39,88.00
3,54665,5078.044434,1395.231689,88.94,87.85
4,54712,4804.547363,1367.389771,89.05,88.25
5,54743,4483.268066,1285.642700,89.40,88.15
6,54761,4355.301270,1277.737793,89.59,88.25
7,54785,4391.542969,1276.332642,89.40,87.55
8,54841,4127.012207,1224.997925,89.88,88.25
9,54927,4089.657715,1218.785034,90.06,88.45
10,54945,3991.182861,1209.070923,90.05,88.25
11,55023,4012.146240,1214.369385,90.12,88.05
12,55032,4021.605225,1214.434937,90.15,88.00
13,55032,4064.150391,1230.002441,90.19,87.95
14,55039,4073.904541,1242.124756,90.16,87.85
15,55044,3858.730713,1201.901611,90.36,88.00
16,55053,3866.936768,1210.731079,90.59,87.90
17,55058,3887.963135,1219.128174,90.61,88.15
18,55067,3842.655762,1209.997559,90.65,88.10
19,55063,3740.151367,1188.518433,90.66,88.25
20,55061,3775.939941,1231.357544,90.60,88.25
21,55071,4083.061768,1286.919189,90.64,88.15
22,55077,3772.581543,1213.488037,90.71,88.30
23,55079,3654.688232,1184.783325,90.82,88.00
24,55083,3970.867920,1253.140259,90.97,87.70
25,55102,3851.325684,1240.551270,90.46,87.55
26,55118,3641.571777,1186.897705,91.15,88.40
27,55121,3567.092529,1170.398071,91.22,88.45
28,55123,3591.737061,1185.143799,91.16,88.60
29,55131,3670.978271,1219.652588,91.18,88.15
30,55131,3611.288574,1207.320435,91.40,88.65
31,55145,3626.412109,1213.111450,91.22,88.45
32,55141,3534.835449,1189.361694,91.38,88.20
33,55140,3687.086182,1226.026367,91.25,88.60
34,55141,3492.642334,1197.620850,91.41,88.35
35,55146,3541.660400,1199.719604,91.43,88.35
36,55147,3522.794189,1233.782104,91.53,88.10
37,55147,3541.469727,1217.012085,91.69,88.15
38,55146,3704.673828,1284.895020,91.70,88.30
39,55155,3552.813232,1226.535278,91.29,87.55
40,55159,3417.286133,1212.787231,91.59,88.25
41,55160,3328.955078,1190.683594,91.66,88.20
42,55162,3340.508789,1196.405273,91.96,88.10
43,55157,3366.351562,1197.962036,91.76,88.35
44,55160,3288.843262,1180.461670,92.21,88.15
45,55160,3350.458252,1198.538452,91.94,88.20
46,55163,3307.729736,1199.507690,91.95,88.30
47,55163,3236.244873,1194.752930,92.10,88.50
48,55178,3252.282715,1199.162231,92.20,88.30
49,55184,3239.415283,1203.790527,92.07,88.45
50,55189,3151.404785,1184.857544,92.31,88.40
