EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,53701,14899.040039,3734.738770,73.09,74.55
2,54151,9574.017578,2373.261475,78.05,78.45
3,54301,8484.169922,2107.175537,79.74,80.60
4,54409,8093.668457,2012.510742,80.66,81.50
5,54429,7858.066406,1953.993042,81.00,81.55
6,54453,7675.842773,1908.982300,82.19,82.75
7,54461,7514.679199,1869.164429,82.21,82.80
8,54462,7337.403809,1825.466553,82.44,82.70
9,54469,7183.876953,1788.604980,82.56,82.95
10,54510,7053.632324,1758.558594,82.76,82.95
11,54524,6952.268066,1736.465576,83.05,83.45
12,54526,6854.763672,1714.562866,83.54,84.15
13,54597,6776.376465,1697.862061,84.31,84.55
14,54615,6687.157227,1678.064575,84.56,85.15
15,54618,6616.796875,1662.683838,84.99,85.85
16,54632,6545.702148,1646.894775,85.12,85.80
17,54643,6480.214844,1631.461792,85.30,85.90
18,54643,6419.808594,1617.772461,85.54,85.75
19,54662,6375.275391,1608.272583,85.59,85.80
20,54688,6340.323730,1600.688110,85.69,85.85
21,54686,6295.435547,1590.568970,85.69,85.95
22,54686,6261.607422,1583.912842,85.85,85.95
23,54694,6227.207520,1576.874512,85.89,85.90
24,54692,6202.876465,1571.869263,85.90,86.05
25,54690,6180.620117,1567.390259,85.93,86.15
26,54688,6151.786133,1561.260864,85.99,86.05
27,54691,6131.649902,1556.872803,86.04,86.00
28,54691,6096.669922,1548.919922,86.11,86.10
29,54690,6069.148926,1542.266235,86.16,86.05
30,54690,6044.032227,1535.814819,86.18,86.10
31,54694,6021.391113,1530.871216,86.18,86.10
32,54695,5995.323242,1524.557739,86.24,86.00
33,54698,5978.799316,1521.316284,86.26,86.00
34,54702,5959.431641,1517.177612,86.26,86.05
35,54696,5942.421875,1514.169067,86.38,86.10
36,54696,5924.696289,1511.410522,86.36,86.05
37,54696,5902.032715,1506.055176,86.44,85.95
38,54699,5877.705566,1501.858643,86.47,86.10
39,54703,5859.396484,1498.200439,86.50,86.00
40,54703,5853.931641,1497.624146,86.55,85.85
41,54700,5836.915039,1494.432739,86.53,86.00
42,54701,5820.368164,1490.929077,86.59,85.80
43,54709,5795.253906,1486.936401,86.56,86.05
44,54711,5786.389160,1485.918945,86.56,86.05
45,54718,5773.630371,1483.997192,86.66,86.10
46,54712,5760.677246,1482.109619,86.70,86.05
47,54713,5746.342773,1478.603394,86.69,86.10
48,54711,5732.738281,1476.343384,86.69,86.10
49,54712,5727.195801,1475.271606,86.72,86.20
50,54713,5718.572754,1474.007202,86.65,86.20
