EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54370,6252.007812,1568.619751,85.81,86.00
2,54687,6095.708496,1535.146606,85.93,85.95
3,54711,5980.869141,1511.480469,86.16,86.00
4,54730,5923.152344,1499.946655,86.45,86.25
5,54751,5862.468262,1489.029175,86.50,86.30
6,54750,5827.948730,1482.178711,86.75,86.30
7,54760,5782.610840,1474.060425,86.80,86.30
8,54804,5746.538086,1467.791748,86.85,86.35
9,54804,5708.898438,1461.075073,86.91,86.45
10,54806,5677.817383,1456.038086,86.97,86.55
11,54806,5651.745605,1451.124878,87.10,86.55
12,54811,5604.331055,1443.018677,87.09,86.35
13,54817,5592.397949,1442.427124,87.11,86.40
14,54821,5559.410645,1436.992554,87.14,86.50
15,54830,5514.790527,1429.115967,87.40,86.50
16,54830,5488.886230,1426.544434,87.36,86.50
17,54831,5443.316895,1419.621948,87.59,86.50
18,54829,5445.989258,1421.010376,87.29,86.35
19,54838,5453.068359,1425.201904,87.21,86.20
20,54835,5409.412598,1417.734497,87.34,86.25
21,54837,5382.094727,1412.940430,87.32,86.40
22,54841,5357.326172,1410.854126,87.46,86.15
23,54840,5348.798828,1411.417847,87.49,86.10
24,54844,5317.452148,1405.185425,87.56,85.95
25,54845,5310.626465,1406.799683,87.61,86.05
26,54848,5251.981934,1397.045654,87.76,86.35
27,54847,5247.795898,1399.324707,87.50,86.00
28,54848,5192.734863,1389.269409,87.84,86.35
29,54847,5169.200195,1386.432129,87.68,86.50
30,54849,5163.886719,1387.770386,87.90,86.40
31,54855,5130.915039,1382.507080,87.79,86.40
32,54851,5148.627930,1390.646362,87.90,86.40
33,54851,5113.864746,1385.870972,87.94,86.50
34,54848,5101.033203,1386.236450,87.94,86.35
35,54854,5068.856934,1379.746948,87.88,86.45
36,54852,5062.156738,1381.272583,87.89,86.65
37,54855,5016.054688,1376.438843,87.90,86.50
38,54859,5038.316895,1383.630615,87.97,86.50
39,54861,4993.961914,1375.347168,88.12,86.45
40,54859,4947.855469,1370.453125,87.95,86.55
41,54859,4981.552246,1379.378906,88.03,86.40
42,54860,4917.948242,1371.608398,87.94,86.25
43,54863,4913.066406,1372.525635,88.12,86.60
44,54863,4948.478516,1382.913452,88.09,86.30
45,54864,4856.818359,1369.884399,88.10,86.30
46,54862,4858.320312,1371.925537,88.21,86.35
47,54865,4869.752930,1377.452148,88.38,86.20
48,54862,4892.813477,1385.921509,88.26,86.10
49,54864,4810.780762,1367.640137,88.28,86.30
50,54865,4823.966797,1377.147461,88.47,86.50
