EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,53744,15132.915039,3813.057861,73.64,74.05
2,54035,10004.604492,2502.083740,78.36,77.55
3,54227,8448.967773,2120.357422,79.88,79.35
4,54299,7945.678711,1999.416260,81.24,80.75
5,54353,7673.036621,1931.406738,81.36,80.50
6,54396,7452.816895,1878.756714,82.75,82.45
7,54448,7199.471680,1813.510376,83.51,83.05
8,54453,6988.362305,1758.965454,84.24,84.05
9,54464,6825.388184,1717.089966,84.69,84.45
10,54505,6703.456543,1687.051514,84.86,84.55
11,54523,6608.198242,1663.533813,85.09,84.70
12,54526,6527.844238,1644.791992,85.29,85.15
13,54544,6473.972168,1631.809204,85.39,85.25
14,54599,6415.513672,1617.534790,85.59,85.30
15,54629,6374.292969,1607.350098,85.65,85.45
16,54640,6324.198242,1596.300171,85.66,85.50
17,54640,6279.072266,1585.267578,85.85,85.55
18,54649,6232.592773,1574.340698,85.90,85.70
19,54649,6188.520996,1563.935181,86.05,85.80
20,54649,6146.246094,1555.018066,86.09,85.85
21,54651,6137.013184,1553.079346,86.29,86.00
22,54650,6087.099121,1541.050171,86.14,85.90
23,54651,6060.596191,1535.253662,86.29,85.90
24,54651,6034.563477,1529.889160,86.24,86.00
25,54653,5995.428223,1521.551880,86.25,85.90
26,54687,5969.249023,1517.477051,86.31,85.90
27,54698,5940.823730,1512.191284,86.35,85.90
28,54711,5921.834961,1508.358276,86.35,85.85
29,54720,5901.571289,1504.864014,86.47,85.85
30,54732,5880.532227,1501.878174,86.60,85.85
31,54731,5855.096191,1496.938843,86.61,85.75
32,54729,5840.643066,1494.869507,86.64,85.70
33,54735,5813.747070,1490.549438,86.74,85.70
34,54737,5794.382324,1488.270752,86.78,85.60
35,54736,5777.922852,1486.677734,86.75,85.60
36,54738,5749.517090,1481.214966,86.82,85.70
37,54740,5733.510254,1479.266968,86.79,85.60
38,54738,5713.675781,1475.309570,86.91,85.65
39,54743,5709.290527,1475.437866,86.91,85.60
40,54744,5695.903320,1474.188843,87.01,85.60
41,54746,5686.727051,1472.708130,86.95,85.45
42,54755,5667.455078,1470.093628,86.95,85.35
43,54753,5656.791992,1468.862061,87.01,85.35
44,54754,5638.895020,1466.186646,86.99,85.50
45,54755,5626.800293,1466.292725,87.04,85.50
46,54753,5604.192871,1461.629150,87.04,85.55
47,54755,5590.801270,1460.791260,87.06,85.40
48,54756,5574.172363,1458.392456,87.10,85.65
49,54757,5559.339355,1456.779419,87.15,85.65
50,54757,5550.312012,1456.531860,87.12,85.65
