idx,weight
0,0.3339550495
1,0.1146287397
2,-0.5186405182
3,-0.1421815008
4,-0.6091496348
5,-0.1497014165
6,-0.5907062888
7,0.6616456509
8,0.07129308581
9,-0.1282401979
10,-0.04610687122
11,-0.1610088795
12,-0.3120207191
13,-0.09236647934
14,-0.2883143425
15,0.2761245072
16,0.4129531682
17,-0.5824350119
18,-0.4348298907
19,0.3073604703
20,0.5597220659
21,-0.2204670161
22,-0.06468106806
23,-0.6075028181
24,-0.1588269919
25,-0.1107709408
26,-0.04241183773
27,0.2024053484
28,0.7533938885
29,0.1647311449
30,0.2010194212
31,0.1521718651
32,-0.2370046079
33,0.2841570675
34,0.1088043898
35,-0.2611919045
36,-0.2487353534
37,-0.08312922716
38,0.6330794692
39,0.1693334281
40,0.01033568382
41,-0.26185745
42,-0.293061167
43,0.2312356234
44,0.08183518797
45,-0.2652914226
46,-0.4203141332
47,0.3665369153
48,0.003706431249
49,-0.01204092521
50,-0.07828850299
51,0.2336452752
52,0.05979625881
53,0.7737559676
54,0.2273277491
55,-0.05664027855
56,-0.9571782947
57,-0.5479679704
58,0.1423658133
59,-0.1143375561
60,-0.5765100718
61,-0.1049400568
62,0.1815806925
63,0.5039612055
64,0.2324999422
65,-1.003989697
66,-0.4618104994
67,0.2088581622
68,-0.894847095
69,0.2923918962
70,-0.1896405667
71,0.2177907526
72,0.6234297156
73,0.219756946
74,0.2084617764
75,0.3590797484
76,-0.6733599305
77,0.001027342514
78,-0.1941356808
79,0.4501006901
80,0.2877879143
81,0.1126120538
82,0.2673178017
83,0.2948915064
84,-0.4076132774
85,-0.1056677848
86,-0.3483496606
87,-1.45863831
88,-0.3248526752
89,-0.06803792715
90,0.6039149761
91,0.4274297059
92,0.09208063781
93,0.3465418518
94,-0.4586772621
95,0.2509383857
96,0.1583720297
97,-0.1974344552
98,0.313795656
99,-0.6659429669
100,-0.05132479966
101,-0.3823244572
102,0.3983541727
103,-1.232151031
104,-0.3547946811
105,-0.6700718403
