idx,weight
0,0.3190098107
1,0.08451795578
2,-0.4470055997
3,-0.1471109986
4,-0.5816144347
5,-0.1497014165
6,-0.3187142909
7,0.5992693305
8,0.07131131738
9,-0.06873100251
10,-0.04415547103
11,-0.05364576355
12,-0.3079587221
13,-0.1155754998
14,-0.4046420157
15,0.1688485444
16,0.4088943005
17,-0.555750072
18,-0.224394545
19,0.2105971277
20,0.5608693957
21,-0.2204670161
22,-0.06468106806
23,-0.5918172598
24,-0.1190979481
25,-0.07541864365
26,0.03033937141
27,0.2811999023
28,0.6817075014
29,0.2725445032
30,0.1867021471
31,0.21176368
32,-0.2968629301
33,0.3177003264
34,0.1010843217
35,-0.286914289
36,-0.1653924733
37,-0.02850010432
38,0.6001600623
39,0.1165949702
40,0.08686235547
41,-0.3148276806
42,-0.4171688557
43,0.2245615125
44,0.03028007783
45,-0.2652914226
46,-0.345851928
47,0.3308269382
48,-0.1344057769
49,0.0006942226319
50,0.01541196462
51,0.2071375549
52,0.08422250301
53,0.7005101442
54,0.1176864654
55,-0.1278078556
56,-0.9261918068
57,-0.4822456241
58,0.2136536539
59,0.02242330648
60,-0.4344928563
61,-0.1049400568
62,0.1840367466
63,0.4546078444
64,0.2476271987
65,-1.00602591
66,-0.3887222111
67,0.1229682118
68,-0.8327942491
69,0.2923918962
70,-0.2651808858
71,0.2786568105
72,0.4616656005
73,0.1965146065
74,0.2736478448
75,0.2830905318
76,-0.6175668836
77,0.06773945689
78,-0.2308377922
79,0.5445291996
80,0.2835853696
81,0.1340726912
82,0.1871605068
83,0.2348880619
84,-0.4395364821
85,-0.1056677848
86,-0.3483496606
87,-1.375699997
88,-0.2495922893
89,-0.1527199447
90,0.4957439005
91,0.3915317357
92,0.08989390731
93,0.3250924051
94,-0.2810632586
95,0.3184507787
96,0.2394454628
97,-0.2280166745
98,0.1785224676
99,-0.5763111115
100,-0.09701277316
101,-0.4557777941
102,0.3109218478
103,-1.17716217
104,-0.3639016449
105,-0.7125940323
106,-1.127297997
107,-0.03221417964
108,-0.9751418233
109,-0.3338962197
110,0.1892458946
111,-0.1308449209
112,0.2939891219
113,0.4009053111
114,-0.2508544326
115,0.5388673544
116,-0.7931790948
117,0.224569276
118,0.00194532657
119,0.4944750369
120,-0.7039780617
121,0.7239083052
122,0.2808802426
123,-0.2986086607
124,-0.163685441
125,0.3658650219
126,0.3901027143
127,-1.146562457
128,0.4083744287
129,-0.04789570346
130,-0.7467051148
131,0.6454507709
132,-0.01596777141
133,-0.3391583562
134,0.2358822972
135,-0.3122743368
136,-0.4410060346
137,0.3450839221
138,0.2074027359
139,0.452308774
140,0.4385327101
141,0.4270039797
142,-0.4564522803
143,0.3247475326
144,0.3449680209
145,-0.1512893438
146,-0.3012142181
147,0.4457458556
148,0.4379606247
149,-0.3442734778
150,-0.2241352946
151,-0.1293476224
152,-0.2587785721
153,0.4823668301
154,-0.006242141593
155,-0.374966383
156,-0.09475506842
157,0.4422526658
158,0.5423963666
159,-0.3828850389
160,-0.3327254653
161,-0.279633373
162,0.3154594898
163,-0.08018290997
164,-0.7450012565
165,-0.4178108275
166,-0.3003427386
167,0.4340102673
168,0.1904317439
169,-0.1911532432
170,0.1057273299
171,0.5736938119
172,-0.1839345545
173,0.1697207391
174,-0.2232435197
175,0.5236082673
176,-0.4521216154
177,0.2068810761
178,-0.2546147704
179,-0.2026259601
180,-0.5334830284
181,-0.1366307288
182,-0.7618094683
183,0.2870683968
184,0.2009889185
185,-0.005665042903
186,-0.07494864613
187,0.05607968196
188,-0.1445666999
189,0.03464906663
190,-0.1740541756
191,-0.5081207156
192,0.03991176188
193,0.2393969893
194,0.4096555412
195,-0.180303961
196,0.01442000829
197,-0.308480233
198,0.3482826054
199,0.3408535421
200,0.2142382115
201,0.6165729761
202,0.00938782841
203,-0.4516938329
204,0.1489810497
205,0.06889777631
206,-0.5574775338
207,-1.368092299
208,-0.01489975862
209,0.5781441927
210,-0.03940943629
211,-0.257171303
212,-0.1675216705
213,0.1125732958
