EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54210,4982.295410,1334.940430,86.55,85.20
2,54525,4439.420410,1242.628784,88.95,87.50
3,54601,4149.073730,1204.875854,88.78,87.20
4,54631,4067.040039,1192.152710,90.00,87.90
5,54652,4014.220703,1188.601929,90.34,87.85
6,54668,3939.443604,1170.233032,90.40,88.60
7,54677,3883.695801,1177.571045,90.71,88.40
8,54690,3860.975830,1183.374756,90.79,88.15
9,54690,3864.755615,1183.323364,90.66,88.65
10,54700,3835.141846,1170.437744,90.80,88.60
11,54707,3756.820312,1152.055054,90.94,88.75
12,54720,3704.133545,1150.203735,91.18,88.65
13,54723,3623.480469,1163.607056,90.88,88.15
14,54727,3699.707520,1175.165161,90.86,88.15
15,54727,3650.800293,1181.229126,90.93,88.15
16,54726,3563.770264,1159.694946,91.24,88.40
17,54739,3581.139160,1162.324463,90.75,88.15
18,54756,3666.934814,1168.978394,90.94,88.25
19,54787,3488.365479,1151.368286,91.31,88.60
20,54791,3405.488037,1147.345581,91.21,88.30
21,54794,3348.602295,1127.989380,91.60,88.60
22,54793,3348.728271,1141.871704,91.57,88.25
23,54795,3343.708740,1143.393066,91.49,88.40
24,54799,3314.452148,1126.324585,91.71,88.80
25,54803,3325.668701,1130.130981,91.57,88.60
26,54810,3380.499023,1182.993530,91.64,88.40
27,54808,3356.957275,1160.324585,91.50,88.50
28,54805,3432.029297,1194.237061,91.54,88.95
29,54813,3353.339355,1157.561157,91.59,88.75
30,54818,3251.648193,1152.613770,91.51,88.80
31,54820,3305.496826,1158.387939,91.45,88.90
32,54822,3353.886963,1186.208740,91.24,88.65
33,54826,3376.333496,1192.591064,91.46,88.80
34,54827,3207.685303,1165.212402,91.39,88.50
35,54823,3153.788818,1151.289673,91.99,88.80
36,54826,3202.219238,1170.391968,91.88,88.85
37,54823,3201.279785,1173.886963,91.69,88.85
38,54825,3080.757812,1145.197388,91.97,89.40
39,54832,3140.768555,1168.202515,91.95,89.05
40,54830,3133.745117,1193.427979,91.82,88.65
41,54830,3142.936523,1174.834229,91.89,88.80
42,54830,3297.204346,1197.901245,91.90,89.00
43,54833,3132.661133,1177.101929,92.06,89.25
44,54832,3102.228271,1165.653076,91.94,89.00
45,54830,2976.968506,1151.362427,92.28,88.60
46,54833,2934.106445,1155.539307,91.97,89.00
47,54838,3012.700195,1161.572754,92.43,89.25
48,54836,2974.312256,1163.061523,92.51,89.35
49,54834,3021.094238,1182.497437,92.28,88.95
50,54840,2933.587891,1163.389526,92.15,88.60
